Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/553/635/GCA_900553635.1_genomic.fna.gz	0.0076	0.0049	96.75	0.125	95.37-98.29	0.086	0.05-0.14	1	1.047	316/10441	89.33	397	USDU01000001.1 uncultured Lachnospiraceae bacterium isolate UMGS1628 genome assembly, contig: NODE_456_length_40199_cov_4.160472, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/550/145/GCA_900550145.1_genomic.fna.gz	0.0075	0.0027	97.88	0.124	96.24-99.76	0.085	0.04-0.14	1	1.041	244/5667	90.35	82	URRF01000001.1 uncultured Mollicutes bacterium isolate UMGS1266 genome assembly, contig: NODE_19_length_90224_cov_8.599441, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/475/285/GCA_902475285.1_genomic.fna.gz	0.0075	0.0047	95.49	0.124	93.75-97.97	0.085	0.04-0.15	1	1.101	199/9980	88.14	28	CABRZA010000001.1 MAG TPA_asm: uncultured Porphyromonadaceae bacterium isolate MGYG-HGUT-02064 genome assembly, contig: GUT_GENOME125520_1, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/122/485/GCF_003122485.1_genomic.fna.gz	0.0075	0.0070	97.40	0.124	96.38-98.54	0.085	0.06-0.12	1	1.100	550/14925	89.90	1284	NZ_JRFU01000001.1 Eubacterium ramulus strain 21 contig1, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/272/005/GCF_000272005.1_genomic.fna.gz	0.0075	0.0070	96.78	0.123	95.61-98.00	0.085	0.06-0.12	1	1.080	449/14895	89.32	60	NZ_AKKU01000001.1 Alishewanella agri BL06 contig001, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/002/316/215/GCA_002316215.1_genomic.fna.gz	0.0074	0.0066	97.26	0.123	95.88-98.53	0.084	0.05-0.13	1	1.191	493/14122	89.74	7	DCDB01000110.1 MAG TPA_asm: Lachnospiraceae bacterium UBA1066 UBA1066_contig_10041, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/432/835/GCA_000432835.1_genomic.fna.gz	0.0074	0.0025	100.00	0.123	99.35-101.51	0.084	0.06-0.11	1	1.080	502/5473	92.58	0	FR890363.1 Clostridium sp. CAG:417 genomic scaffold, scf2, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/063/805/GCA_018063805.1_genomic.fna.gz	0.0073	0.0041	96.33	0.120	94.75-99.13	0.083	0.03-0.14	1	1.040	227/8927	88.83	1	JAGPAO010000220.1 MAG: Synergistaceae bacterium isolate Gw_Prim_bin_27 Gw_Prim_100956_length_2747_cov_7.815267, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/567/305/GCF_025567305.1_genomic.fna.gz	0.0073	0.0052	98.81	0.120	97.79-99.92	0.083	0.05-0.12	1	1.055	635/11366	91.11	322	NZ_JAOQJP010000001.1 Brotomerdimonas butyrica strain Sanger_12 .13414_6_60.1, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/553/265/GCA_900553265.1_genomic.fna.gz	0.0073	0.0052	96.76	0.120	95.29-98.66	0.082	0.04-0.13	1	1.042	331/11362	89.22	66	USDD01000001.1 uncultured Clostridiales bacterium isolate UMGS1603 genome assembly, contig: NODE_121_length_60786_cov_6.532249, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/003/112/755/GCA_003112755.1_genomic.fna.gz	0.0072	0.0083	97.85	0.120	96.62-98.97	0.082	0.06-0.12	1	1.054	664/16161	90.22	402	BFBT01000001.1 Lawsonibacter asaccharolyticus DNA, contig01, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/916/439/305/GCA_916439305.1_genomic.fna.gz	0.0072	0.0025	95.35	0.119	92.54-96.71	0.082	0.05-0.19	1	1.039	102/5571	87.89	78	CAKAIO010000001.1 MAG TPA_asm: uncultured Streptococcus sp. isolate DRR214960_bin.16_metaWRAP_v1.1_MAG genome assembly, contig: BNJT01000074, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/234/575/GCF_002234575.2_genomic.fna.gz	0.0072	0.0128	97.55	0.119	96.62-98.36	0.082	0.06-0.11	1	1.046	1050/28270	89.92	441	NZ_CP022464.2 Enterocloster bolteae strain ATCC BAA-613 chromosome, complete genome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/288/115/GCF_014288115.1_genomic.fna.gz	0.0072	0.0056	99.34	0.118	98.26-100.23	0.081	0.06-0.11	1	1.088	810/12439	91.57	345	NZ_JACOOK010000001.1 Alistipes hominis strain New-7 N7_ctg01, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/545/245/GCA_900545245.1_genomic.fna.gz	0.0071	0.0061	95.77	0.117	94.14-97.61	0.080	0.04-0.14	1	1.052	290/13876	88.27	104	UQYV01000001.1 uncultured Bacteroidales bacterium isolate UMGS764 genome assembly, contig: NODE_19_length_174401_cov_10.350969, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/025/195/GCF_001025195.1_genomic.fna.gz	0.0070	0.0039	97.01	0.115	95.47-98.63	0.079	0.05-0.13	1	0.986	288/8792	89.56	1250	NZ_AP012325.1 Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 strain JCM 1194 chromosome, complete genome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/002/498/385/GCA_002498385.1_genomic.fna.gz	0.0070	0.0040	95.32	0.115	93.10-97.04	0.079	0.04-0.15	1	1.062	160/9123	87.77	4	DAHH01000013.1 MAG TPA_asm: Methanobacterium sp. UBA410 UBA410_contig_1101, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/155/415/GCA_900155415.1_genomic.fna.gz	0.0068	0.0047	96.50	0.113	94.97-98.44	0.078	0.04-0.12	1	1.066	271/10708	88.82	195	LT700187.1 Christensenella sp. Marseille-P2438 genome assembly, chromosome: contig00001
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/759/995/GCF_900759995.1_genomic.fna.gz	0.0067	0.0064	96.76	0.111	95.30-98.06	0.077	0.05-0.12	1	1.037	407/14993	89.02	18	NZ_CAAEXL010000001.1 MAG: uncultured Clostridium sp. isolate HGM11644, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/770/395/GCA_900770395.1_genomic.fna.gz	0.0067	0.0061	98.54	0.111	97.42-99.71	0.076	0.05-0.11	1	1.071	691/14548	90.64	157	CAAGKM010000001.1 MAG TPA_asm: uncultured Prevotella sp., isolate HGM04866, WGS project CAAGKM010000000 data, contig: SRS476306_34_k119_6144, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/255/495/GCF_000255495.1_genomic.fna.gz	0.0067	0.0039	99.48	0.110	98.21-100.62	0.076	0.05-0.11	1	1.131	597/9386	91.50	3	NZ_AHYZ01000220.1 Liquorilactobacillus vini DSM 20605 contig00343, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/946/481/195/GCA_946481195.1_genomic.fna.gz	0.0067	0.0067	98.37	0.110	97.14-99.61	0.076	0.05-0.11	1	1.082	729/16304	90.46	169	CAMLNG010000001.1 MAG: uncultured Chromatiaceae bacterium isolate SRR14536361_bin.14_metawrap_v1.3.0_MAG genome assembly, contig: ERZ12633438_302, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/552/455/GCA_900552455.1_genomic.fna.gz	0.0067	0.0044	98.28	0.110	96.98-99.46	0.076	0.05-0.11	1	1.066	470/10810	90.38	9	URZX01000001.1 uncultured Peptococcaceae bacterium isolate UMGS1512 genome assembly, contig: NODE_5_length_226917_cov_7.846806, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/553/695/GCA_900553695.1_genomic.fna.gz	0.0066	0.0020	99.88	0.109	98.52-101.62	0.075	0.04-0.11	1	1.088	341/4771	91.84	1	USEM01000001.1 uncultured Clostridium sp. isolate UMGS1640 genome assembly, contig: NODE_129_length_88821_cov_60.154045, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/007/896/885/GCA_007896885.1_genomic.fna.gz	0.0065	0.0067	97.24	0.108	96.03-98.52	0.074	0.05-0.11	1	1.061	510/16552	89.38	51	VOIU01000010.1 Bacteroidaceae bacterium HV4-6-C5C NODE_10_length_120548_cov_849.622, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/289/045/GCF_900289045.1_genomic.fna.gz	0.0065	0.0067	97.12	0.108	95.76-98.32	0.074	0.05-0.11	1	1.067	479/16216	89.26	11	NZ_LT985188.1 Micropruina glycogenica isolate 1 chromosome 1, complete sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/154/345/GCA_000154345.1_genomic.fna.gz	0.0065	0.0057	98.52	0.107	97.38-99.64	0.073	0.05-0.11	1	1.616	632/13860	90.52	156	DS480351.1 Clostridium leptum DSM 753 Scfld_02_20 genomic scaffold, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/022/769/825/GCA_022769825.1_genomic.fna.gz	0.0065	0.0041	98.36	0.107	97.04-100.28	0.073	0.04-0.11	1	1.120	433/9963	90.38	100	JALEJI010000030.1 MAG: Prevotella sp. isolate SUG57 k141_100040, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/761/025/GCA_900761025.1_genomic.fna.gz	0.0064	0.0035	96.82	0.105	95.05-98.69	0.072	0.03-0.13	1	1.043	230/8764	88.92	30	CAAFBM010000001.1 MAG TPA_asm: Clostridia bacterium, isolate HGM12662, WGS project CAAFBM010000000 data, contig: SRS045645_63_k99_169, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/371/425/GCA_905371425.1_genomic.fna.gz	0.0064	0.0022	99.43	0.105	98.13-101.38	0.072	0.04-0.11	1	1.205	332/5549	91.32	2	CAJPLD010000001.1 MAG: Haemophilus parainfluenzae isolate SRR6059102-mag-bin.2 genome assembly, contig: SRR6059102-mag-bin.2_7, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/701/165/GCA_001701165.1_genomic.fna.gz	0.0062	0.0043	97.27	0.102	95.69-99.16	0.070	0.04-0.12	1	1.064	328/11197	89.24	35	DAAP01000004.1 MAG TPA_asm: Bacteroidales bacterium H4 H4_contig_1085, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/546/435/GCA_900546435.1_genomic.fna.gz	0.0062	0.0038	99.88	0.102	98.75-101.05	0.070	0.05-0.10	1	1.065	662/9903	91.64	412	URCQ01000001.1 uncultured Pseudobutyrivibrio sp. isolate UMGS881 genome assembly, contig: NODE_1_length_235511_cov_21.206646, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/212/345/GCA_905212345.1_genomic.fna.gz	0.0061	0.0031	95.13	0.101	92.88-96.37	0.070	0.05-0.14	1	1.034	119/8143	87.26	116	CAJMEC010000001.1 MAG TPA_asm: uncultured Sutterella sp. isolate ERR321638-bin.33 genome assembly, contig: NODE_102_length_106591_cov_4.315443, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/052/945/GCA_018052945.1_genomic.fna.gz	0.0060	0.0026	98.94	0.099	97.38-101.01	0.068	0.03-0.11	1	1.065	341/7025	90.70	1	JAGPMH010000083.1 MAG: Negativicutes bacterium isolate Gw_SlPrim_bin_82 Gw_SlPrim_100069_length_3026_cov_10.174543, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/550/315/GCA_900550315.1_genomic.fna.gz	0.0060	0.0029	98.58	0.099	97.07-100.63	0.068	0.03-0.11	1	1.050	338/7879	90.34	13	URRK01000001.1 uncultured Ruminococcaceae bacterium isolate UMGS1279 genome assembly, contig: NODE_552_length_38426_cov_3.466602, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/937/978/655/GCA_937978655.1_genomic.fna.gz	0.0060	0.0074	98.22	0.098	97.13-99.22	0.068	0.05-0.09	1	1.048	770/20100	90.01	204	CALJUX010000001.1 MAG TPA_asm: uncultured Chromatiaceae bacterium isolate SRR6007446_bin.18_CONCOCT_v1.1_MAG genome assembly, contig: ERZ724100.2403, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/944/324/615/GCF_944324615.1_genomic.fna.gz	0.0059	0.0050	98.98	0.098	97.70-100.06	0.067	0.05-0.10	1	1.066	649/13381	90.70	5	NZ_CALUWY010000001.1 MAG: uncultured Mailhella sp. isolate BRZ_CG__bin119 BRZ_CG__NODE_141_length_153800_cov_10.101644, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/934/293/005/GCA_934293005.1_genomic.fna.gz	0.0059	0.0041	98.64	0.097	97.12-100.28	0.067	0.04-0.11	1	1.225	488/11195	90.39	41	CAKQYA010000001.1 MAG: uncultured Bacteroidaceae bacterium isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_13_2496.92 genome assembly, contig: Hadza_MoBio_hadza-I-L_M_13_2496__NODE_91_length_171603_cov_10.616023, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/473/305/GCA_000473305.1_genomic.fna.gz	0.0059	0.0042	97.55	0.097	96.15-99.33	0.066	0.04-0.11	1	1.061	344/11277	89.35	15	CP006772.1 Bacteroidales bacterium CF, complete genome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/154/985/GCF_000154985.1_genomic.fna.gz	0.0058	0.0030	95.40	0.096	92.84-96.48	0.066	0.04-0.14	1	1.032	125/8238	87.36	262	NZ_DS572694.1 Streptococcus infantarius subsp. infantarius ATCC BAA-102 Scfld_02_20, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/452/965/GCA_023452965.1_genomic.fna.gz	0.0058	0.0067	96.99	0.096	95.83-98.38	0.066	0.04-0.10	1	1.044	472/18603	88.82	39	JAEXUU010000776.1 MAG: Proteobacteria bacterium isolate OH_HBrB_46 k127_1003312, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/011/927/635/GCF_011927635.1_genomic.fna.gz	0.0058	0.0072	98.03	0.095	96.77-99.08	0.066	0.05-0.10	1	1.071	701/19956	89.76	18	NZ_JAATJB010000001.1 Sphingomonas trueperi strain DSM 7225 Ga0373209_01, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/028/691/695/GCA_028691695.1_genomic.fna.gz	0.0058	0.0029	97.71	0.095	95.99-99.55	0.065	0.03-0.11	1	1.047	254/8049	89.45	4	JAQUYU010000024.1 MAG: Sphaerochaetaceae bacterium isolate STD2_244 NODE_10096_length_19664_cov_7.487946_Sandtown_D2, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/508/225/GCF_022508225.1_genomic.fna.gz	0.0057	0.0053	96.80	0.094	95.29-98.35	0.065	0.04-0.11	1	1.071	353/15041	88.60	374	NZ_JAETXJ010000001.1 Desulfovibrio sp. UIB00 PL_350_(paired)_contig_1, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/402/915/GCA_023402915.1_genomic.fna.gz	0.0057	0.0028	99.24	0.094	97.88-100.80	0.065	0.04-0.10	1	1.220	405/7933	90.85	2	JAEYFO010000197.1 MAG: Bacillota bacterium isolate OH_HFB_25 k127_1002902, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/569/505/GCF_004569505.1_genomic.fna.gz	0.0057	0.0063	96.29	0.094	94.72-98.11	0.064	0.03-0.11	1	1.053	357/18036	88.11	25	NZ_SPPK01000100.1 Dysgonomonas mossii strain P11 NODE_100_length_408_cov_1.09253, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/029/960/085/GCA_029960085.1_genomic.fna.gz	0.0057	0.0046	96.97	0.094	95.32-98.68	0.064	0.04-0.11	1	1.053	323/13141	88.73	54	JASCPG010000100.1 Microbacteriaceae bacterium PS02067 NODE_100_length_4432_cov_20.576539, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/541/335/GCA_900541335.1_genomic.fna.gz	0.0057	0.0037	96.63	0.093	94.76-98.69	0.064	0.03-0.11	1	1.104	230/10472	88.41	97	UQJC01000001.1 uncultured Prevotella sp. isolate UMGS333 genome assembly, contig: NODE_2_length_299964_cov_6.788796, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/433/315/GCA_000433315.1_genomic.fna.gz	0.0057	0.0025	96.79	0.093	94.67-98.62	0.064	0.03-0.13	1	1.134	164/7106	88.55	22	FR893351.1 Firmicutes bacterium CAG:345 genomic scaffold, scf3, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/022/009/835/GCA_022009835.1_genomic.fna.gz	0.0056	0.0022	100.00	0.093	98.55-102.14	0.064	0.03-0.10	1	1.091	396/6077	91.57	200	CP091726.1 MAG: Bacilli bacterium isolate nC33_bin.244.fa chromosome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/014/610/835/GCA_014610835.1_genomic.fna.gz	0.0056	0.0034	99.05	0.093	97.76-100.42	0.064	0.04-0.09	1	1.070	469/9760	90.67	274	QQXM01000087.1 Erysipelotrichaceae bacterium 7770_A6 NODE_100_length_611_cov_1263.831421, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/689/755/GCF_028689755.1_genomic.fna.gz	0.0054	0.0052	98.66	0.089	97.40-99.99	0.061	0.04-0.09	1	1.065	618/15371	90.15	99	NZ_JAQVCO010000004.1 MAG: Aquabacterium sp. isolate STD2_90 NODE_101_length_214014_cov_10.452178_Sandtown_D2, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/487/345/GCF_017487345.1_genomic.fna.gz	0.0053	0.0051	96.84	0.088	95.24-98.56	0.061	0.03-0.10	1	1.038	341/15323	88.45	182	NZ_CP062006.1 Brevundimonas pondensis strain LVF1 chromosome, complete genome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/436/255/GCA_000436255.1_genomic.fna.gz	0.0053	0.0015	98.98	0.088	96.55-100.89	0.061	0.03-0.12	1	1.029	204/4662	90.40	2	HF990761.1 Clostridium sp. CAG:1193 genomic scaffold, scf7, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/943/913/355/GCF_943913355.1_genomic.fna.gz	0.0053	0.0052	97.87	0.088	96.70-99.28	0.060	0.04-0.09	1	1.037	481/15708	89.36	30	NZ_CALTXX010000001.1 MAG: uncultured Brevundimonas sp. isolate q4B3ZD9303_bin.1.MAG NODE_7_length_123296_cov_7.956768, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/869/165/GCF_022869165.1_genomic.fna.gz	0.0053	0.0050	95.41	0.087	93.53-97.22	0.060	0.03-0.11	1	1.029	207/14980	87.10	3	NZ_CP094929.1 Sphaerochaeta associata strain GLS2T chromosome, complete genome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/325/665/GCF_000325665.1_genomic.fna.gz	0.0052	0.0036	97.33	0.086	95.61-99.44	0.059	0.03-0.10	1	1.089	281/11047	88.83	3	NC_019908.1 Brachyspira pilosicoli P43/6/78, complete sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/768/465/GCA_900768465.1_genomic.fna.gz	0.0052	0.0024	97.09	0.085	94.66-99.05	0.058	0.03-0.12	1	1.028	176/7572	88.57	11	CAAGCY010000001.1 MAG TPA_asm: Alphaproteobacteria bacterium, isolate HGM16787, WGS project CAAGCY010000000 data, contig: SRS476139_58_k119_26035, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/918/045/GCF_018918045.1_genomic.fna.gz	0.0052	0.0034	97.56	0.085	95.82-99.48	0.058	0.03-0.11	1	1.111	289/10721	89.00	325	NZ_JAHLPU010000070.1 Pseudoflavonifractor sp. MSJ-30 Wk-30_ctg0004, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/545/515/GCA_900545515.1_genomic.fna.gz	0.0049	0.0036	98.47	0.081	96.78-100.69	0.056	0.03-0.09	1	1.047	408/11850	89.70	58	UQZA01000001.1 uncultured Clostridiales bacterium isolate UMGS777 genome assembly, contig: NODE_3_length_269332_cov_9.326303, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/713/685/GCA_018713685.1_genomic.fna.gz	0.0049	0.0031	97.06	0.081	95.08-99.28	0.056	0.03-0.11	1	0.979	235/10112	88.57	18	DVOK01000006.1 MAG TPA_asm: Candidatus Merdousia gallistercoris isolate CHK197-16368 CHK197__C106843_L137664_ERR3414592, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/937/894/955/GCA_937894955.1_genomic.fna.gz	0.0049	0.0025	95.65	0.081	93.43-96.08	0.056	0.05-0.11	1	1.116	112/8038	87.12	8	CALAXO010000001.1 MAG TPA_asm: uncultured Clostridia bacterium isolate SRR1747021_bin.129_CONCOCT_v1.1_MAG genome assembly, contig: ERZ808243.1478, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/010/120/595/GCF_010120595.1_genomic.fna.gz	0.0048	0.0027	98.69	0.079	96.66-100.56	0.055	0.03-0.09	1	1.125	313/8584	89.87	335	NZ_CP038020.1 Streptococcus thermophilus strain ATCC 19258 chromosome, complete genome
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/110/115/GCF_023110115.1_genomic.fna.gz	0.0048	0.0023	95.94	0.079	93.33-96.63	0.054	0.05-0.12	1	1.043	115/7733	87.31	158	NZ_JALDVP010000010.1 Streptococcus sp. oral taxon 431 strain S05 NODE_10_length_23192_cov_50.135195, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/937/862/805/GCA_937862805.1_genomic.fna.gz	0.0048	0.0036	96.68	0.079	94.70-98.54	0.054	0.03-0.10	1	1.022	229/12063	88.00	2	CALMDO010000001.1 MAG TPA_asm: uncultured Bacteroidetes bacterium isolate SRR8868559_bin.49_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1645192.1046, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/003/150/615/GCA_003150615.1_genomic.fna.gz	0.0047	0.0026	98.30	0.078	96.10-100.55	0.054	0.02-0.10	1	1.026	230/7340	89.43	19	QALN01000002.1 MAG: Flavobacteriales bacterium isolate CIM:MAG 32_1 contig_113136, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/024/265/GCF_000024265.1_genomic.fna.gz	0.0047	0.0046	100.00	0.078	99.45-101.61	0.053	0.04-0.08	1	1.053	1005/15631	91.53	0	NC_013204.1 Eggerthella lenta DSM 2243, complete sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/017/307/275/GCA_017307275.1_genomic.fna.gz	0.0047	0.0067	99.01	0.077	97.93-100.17	0.053	0.04-0.08	1	1.030	893/22993	90.05	13	JAFKFK010000011.1 MAG: Alphaproteobacteria bacterium isolate SCN18_30_10_14_R5_P_65_16 SCN18_30_10_14_R5_P_scaffold_102, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/753/295/GCA_900753295.1_genomic.fna.gz	0.0046	0.0027	95.52	0.077	93.05-96.24	0.053	0.05-0.12	1	1.042	118/9319	86.85	17	CAADYQ010000001.1 MAG TPA_asm: Clostridia bacterium, isolate HGM12681, WGS project CAADYQ010000000 data, contig: ERS396355_37_k85_8769, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/547/015/GCA_900547015.1_genomic.fna.gz	0.0046	0.0021	98.55	0.075	96.76-100.51	0.052	0.03-0.09	1	1.107	243/7408	89.56	67	URFD01000001.1 uncultured Ruminococcaceae bacterium isolate UMGS942 genome assembly, contig: NODE_141_length_62783_cov_14.964214, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/221/385/GCF_005221385.1_genomic.fna.gz	0.0045	0.0067	96.81	0.075	95.50-98.54	0.051	0.03-0.08	1	1.088	444/23593	87.97	66	NZ_CP039903.1 Agrobacterium tumefaciens strain CFBP6623 chromosome circular, complete sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/490/335/GCA_902490335.1_genomic.fna.gz	0.0045	0.0012	98.01	0.075	95.41-98.42	0.051	0.05-0.12	1	1.025	120/4372	89.05	14	CABUDL010000001.1 MAG TPA_asm: uncultured Clostridium sp. isolate MGYG-HGUT-03895 genome assembly, contig: GUT_GENOME247584_1, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/545/915/GCA_900545915.1_genomic.fna.gz	0.0045	0.0040	96.68	0.074	94.92-98.50	0.051	0.03-0.09	1	1.212	255/14302	87.82	401	URAV01000001.1 uncultured Porphyromonadaceae bacterium isolate UMGS835 genome assembly, contig: NODE_3_length_211372_cov_8.537245, whole genome shotgun sequence
../data/temp/barcode85.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/354/555/GCF_004354555.1_genomic.fna.gz	0.0044	0.0022	98.07	0.073	95.61-99.58	0.050	0.03-0.10	1	1.034	206/7566	89.03	20	NZ_PUFH01000001.1 Leuconostoc citreum strain ATCC 49370 47, whole genome shotgun sequence
