Contig_name	barcode01_MA_DS9_Crowfoot.fastq	barcode02_MA_DS9_Crowfoot.fastq	barcode03_MA_DS9_Crowfoot.fastq	barcode04_MA_DS9_Crowfoot.fastq	barcode05_MA_DS9_Crowfoot.fastq	barcode06_MA_DS9_Crowfoot.fastq	barcode07_MA_DS9_Crowfoot.fastq	barcode09_MA_DS9_Crowfoot.fastq	barcode10_MA_DS9_Crowfoot.fastq	barcode11_MA_DS9_Crowfoot.fastq	barcode12_MA_DS9_Crowfoot.fastq	barcode13_MA_DS9_Crowfoot.fastq	barcode18_1405Gb.fastq	barcode19_1405Gb.fastq	barcode20_1405Gb.fastq	barcode21_1405Gb.fastq	barcode22_1405Gb.fastq	barcode23_1405Gb.fastq	barcode24_1405Gb.fastq	barcode01_final_combined.fastq	barcode02_final_combined.fastq	barcode03_final_combined.fastq	barcode04_final_combined.fastq	barcode05_final_combined.fastq	barcode06_final_combined.fastq	barcode07_final_combined.fastq	barcode08_final_combined.fastq	barcode09_final_combined.fastq	barcode10_final_combined.fastq	barcode11_final_combined.fastq	barcode12_final_combined.fastq	barcode13_final_combined.fastq	barcode14_final_combined.fastq	17_set_barcode01.fastq	17_set_barcode02.fastq	17_set_barcode03.fastq	17_set_barcode04.fastq	17_set_barcode05.fastq	17_set_barcode06.fastq	17_set_barcode07.fastq	17_set_barcode08.fastq	17_set_barcode09.fastq
NZ_KB905466.1 Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 strain DSM 18765 acAqE-supercont1.1, whole genome shotgun sequence	395	369	171	404	492	492	367	351	0	0	0	0	0	0	7941	5653	4462	4712	0	800	751	0	743	420	0	0	0	1631	1562	1467	0	0	0	0	0	0	0	0	0	0	0	0
NZ_SIXC01000001.1 Desulfovibrio legallii strain H1T scaffold_0, whole genome shotgun sequence	197	237	217	299	369	238	252	216	0	234	168	0	0	0	0	713	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_JAOQKJ010000001.1 Suilimivivens aceti strain Sanger_18 .13414_6_68.1, whole genome shotgun sequence	246	344	281	387	392	307	276	417	277	338	427	0	0	0	4248	6186	5941	5212	0	1105	10869	8513	10456	1700	831	627	687	595	544	539	1410	0	0	588	0	0	0	0	0	679	0	0
NZ_JALKQL010000001.1 Pseudomonas iridis strain Y-22 Contig_001, whole genome shotgun sequence	463	466	390	446	661	660	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_QNRV01000001.1 Sutterella wadsworthensis strain DSM 14016 Ga0244527_101, whole genome shotgun sequence	215	220	168	170	332	374	302	175	0	111	208	0	0	0	639	3103	2661	3009	135	251	0	0	0	0	100	185	311	912	978	1106	0	0	0	0	0	0	0	0	0	0	0	0
NZ_VFIO01000010.1 Pseudomonas saxonica strain DSM 108989 10_166467_22.3684, whole genome shotgun sequence	387	499	392	509	567	516	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMLNG010000001.1 MAG: uncultured Chromatiaceae bacterium isolate SRR14536361_bin.14_metawrap_v1.3.0_MAG genome assembly, contig: ERZ12633438_302, whole genome shotgun sequence	274	229	345	298	309	312	200	436	234	332	493	0	0	0	769	0	0	0	0	287	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_BCZA01000001.1 Pantoea agglomerans NBRC 102470, whole genome shotgun sequence	335	303	407	316	0	171	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0
JAGOYM010000042.1 MAG: Leptotrichiaceae bacterium isolate Gw_Inlet_bin_89 Gw_Inlet_10038_length_10220_cov_73.271376, whole genome shotgun sequence	85	68	79	65	94	186	160	106	0	92	120	0	0	0	0	341	0	0	0	527	125	136	260	202	687	592	695	93	0	0	233	0	0	0	0	0	0	0	0	227	0	0
NZ_CABGGS010000001.1 Klebsiella spallanzanii isolate SB6411, whole genome shotgun sequence	443	590	529	683	744	605	660	0	0	0	0	0	0	0	1716	0	0	0	4261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	1371	472	0	0	0
NZ_NMQV01000001.1 Pseudomonas fluvialis strain ASS-1 contig1, whole genome shotgun sequence	235	0	0	217	232	129	175	226	0	0	0	0	0	0	16284	833	0	0	644	353	0	0	0	0	220	0	254	519	594	598	0	0	0	398	0	0	324	495	0	0	0	0
NZ_CP059856.1 Bacteroides zhangwenhongii strain HF-5287 chromosome, complete genome	380	0	398	559	590	0	492	405	0	0	0	0	0	0	11349	4107	3404	3509	0	0	1325	1408	1315	0	0	0	0	0	1896	1999	0	0	0	0	0	0	0	0	0	935	0	0
NZ_LXEU01000001.1 Kluyvera georgiana ATCC 51603 Sequence00001, whole genome shotgun sequence	361	307	410	326	547	549	370	0	0	0	0	0	0	0	0	0	0	0	5774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAGPGI010000415.1 MAG: Paracoccus sp. isolate Gw_SlPrim_bin_93 Gw_SlPrim_100156_length_3025_cov_5.999655, whole genome shotgun sequence	216	309	203	279	366	382	337	323	152	0	285	0	0	0	473	913	603	423	0	702	0	0	0	0	842	770	751	0	465	0	0	0	0	780	327	301	0	0	0	767	0	0
NZ_CP034413.3 Dysosmobacter welbionis strain J115 chromosome, complete genome	253	159	190	313	287	349	326	293	146	254	261	0	0	0	5988	11890	7462	8679	0	473	1415	1092	1214	1010	710	605	779	840	809	811	1128	0	0	772	115	0	0	0	0	437	0	0
NZ_JACOOY010000001.1 Dorea hominis strain NSJ-36 YM-YCFA-11_ctg001, whole genome shotgun sequence	214	129	0	118	220	218	105	202	0	0	258	0	0	0	5266	2570	2123	2051	0	305	0	0	0	863	687	403	512	297	323	429	0	0	0	375	0	0	626	0	0	901	0	0
NZ_CP015283.1 Streptococcus salivarius strain ATCC 25975 chromosome, complete genome	163	208	240	198	396	254	318	224	0	0	178	0	0	0	1562	3826	3429	3738	388	487	379	272	260	659	610	633	628	200	0	407	1958	0	0	1083	410	308	0	0	0	638	0	0
NZ_KB899040.1 Coprothermobacter platensis DSM 11748 D890DRAFT_scaffold00001.1, whole genome shotgun sequence	99	114	131	157	131	114	216	168	108	159	192	0	0	0	0	0	0	0	0	467	154	134	216	266	412	316	406	338	254	181	426	0	0	0	0	0	0	0	0	338	0	0
FR899379.1 Mycoplasma sp. CAG:472 genomic scaffold, scf1, whole genome shotgun sequence	88	172	155	182	227	207	175	212	33	236	221	0	0	0	2662	461	636	398	0	162	0	0	0	312	93	118	285	0	136	12	395	0	0	126	0	0	0	0	0	0	0	0
NZ_RCHC01000001.1 Acinetobacter chengduensis strain WCHAc060005 1, whole genome shotgun sequence	263	527	360	399	483	579	396	502	383	389	458	0	0	0	0	0	0	0	792	825	0	0	0	1144	801	0	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0
JAFACP010000057.1 MAG: Proteobacteria bacterium isolate OH_SBB_50 k127_1004727, whole genome shotgun sequence	231	247	245	346	321	328	287	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1125	0	0	0	0	0	0	0	0
NZ_LT594611.1 Culturomica massiliensis strain Marseille-P2698T, whole genome shotgun sequence	308	370	425	287	474	430	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_JACRTE010000001.1 Qingrenia yutianensis strain NSJ-50 M32_ctg0001, whole genome shotgun sequence	182	0	212	0	222	187	0	186	190	227	226	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_AP019749.1 Comamonas terrigena NBRC 13299 chromosome, complete genome	322	331	430	478	458	464	483	645	502	859	670	0	0	0	5159	0	0	0	5331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	206	26739	33812	26722	584	0	0
NZ_CP102250.1 Alistipes indistinctus YIT 12060 chromosome, complete genome	197	229	332	143	273	231	227	298	136	317	292	0	0	0	3290	3866	2999	2763	0	637	2365	1568	2122	468	168	50	0	700	807	954	328	0	0	0	0	0	0	0	0	0	0	0
NZ_PPQD01000001.1 Mammaliicoccus sciuri strain NCTC 12103 NCTC12103_e2_c1, whole genome shotgun sequence	190	147	132	136	279	132	111	241	63	150	167	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAGOEI010000332.1 MAG: Thauera sp. isolate Go_UH_bin_156 Go_UH_100531_length_2671_cov_167.185928, whole genome shotgun sequence	191	158	188	281	307	272	268	310	87	215	249	0	0	0	1822	1265	1033	1178	0	738	336	225	302	372	510	514	572	522	554	483	395	0	0	382	0	0	685	553	0	0	0	0
NZ_BHVZ01000001.1 Anaerotignum faecicola strain KCTC 15736 Contigs01, whole genome shotgun sequence	172	149	140	175	254	166	258	263	0	159	237	0	0	0	15870	19171	16437	17164	488	400	951	648	673	698	787	778	706	462	468	465	759	0	0	382	0	0	546	0	120	1177	0	0
FR887054.1 Firmicutes bacterium CAG:170 genomic scaffold, scf6, whole genome shotgun sequence	167	176	151	170	188	215	174	237	99	146	132	0	0	0	2437	863	909	983	0	90	393	393	329	771	380	0	0	310	333	0	915	0	0	0	0	0	545	669	172	0	0	0
NZ_JARFXX010000010.1 Neopoerus faecalis strain CMD_1836 LM_D8_4-BHI_SB-7_1_NODE_10_length_87348, whole genome shotgun sequence	172	267	247	320	271	273	216	326	0	249	208	0	0	0	1609	10183	8768	8832	0	442	544	594	511	633	482	393	447	657	619	637	981	0	0	0	0	0	0	0	0	0	0	0
NZ_LDJO01000001.1 Stenotrophomonas acidaminiphila strain JCM 13310 contig_1, whole genome shotgun sequence	268	269	0	251	350	493	255	326	0	250	256	0	0	0	4023	1606	1446	1356	880	0	493	0	0	517	717	598	626	736	454	363	746	0	0	0	0	0	785	714	0	0	0	0
NZ_ATUZ01000001.1 Desulfovibrio desulfuricans DSM 642 G449DRAFT_scaffold00010.10_C, whole genome shotgun sequence	230	280	307	248	252	380	290	317	0	380	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	740	0	0	0	0
JAPCWD010000001.1 Synergistaceae bacterium DZ-S4 c_000000000001, whole genome shotgun sequence	144	176	138	161	161	160	180	444	273	302	327	0	0	0	852	913	520	491	0	130	0	0	0	0	298	292	308	129	242	203	480	0	0	228	79	0	280	514	228	0	0	0
DISN01000011.1 MAG TPA_asm: Candidatus Saccharibacteria bacterium UBA6209 UBA6209_contig_12166, whole genome shotgun sequence	46	66	0	0	0	68	47	73	0	89	47	0	0	0	0	562	404	500	488	0	0	0	0	0	0	0	0	0	32	0	79	0	0	131	57	0	0	0	0	83	0	0
USQV01000001.1 uncultured Clostridium sp. isolate UMGS1992 genome assembly, contig: NODE_529_length_30315_cov_5.205155, whole genome shotgun sequence	98	114	71	146	104	140	89	141	116	192	144	0	0	0	863	0	0	0	0	0	0	0	0	0	125	179	136	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0
NZ_AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 strain JCM 1255 chromosome, complete genome	147	172	100	163	199	186	196	244	200	234	292	0	0	0	10757	2068	2032	2246	0	420	782	627	592	2698	5815	5178	5632	1625	1448	1820	1544	0	0	637	39	0	0	0	0	1219	0	0
NZ_CP077107.1 Methanospirillum hungatei strain GP1 chromosome, complete genome	222	137	123	205	193	215	116	552	114	580	451	0	0	0	0	0	0	0	0	124	0	0	0	141	250	0	131	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0
NZ_JASLGE010000099.1 MAG: Pseudomonas sp. isolate SHSU.bins.40 k141_10193905, whole genome shotgun sequence	337	0	0	270	362	0	384	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URAZ01000001.1 uncultured Clostridiales bacterium isolate UMGS830 genome assembly, contig: NODE_27_length_119457_cov_8.341464, whole genome shotgun sequence	205	263	190	241	302	301	414	348	251	340	411	0	0	0	4378	2108	1884	2008	355	567	734	763	761	1599	1240	1270	1190	1087	1176	1147	1891	0	0	426	0	0	0	0	0	634	0	0
NZ_PDWO01000010.1 Pseudoxanthomonas kaohsiungensis strain DSM 17583 NODE_10_length_137624_cov_62.5883, whole genome shotgun sequence	240	228	142	252	355	218	213	190	0	0	0	0	0	0	1502	0	0	0	232	527	283	321	428	988	1120	1082	1082	945	879	821	512	0	0	0	0	0	0	0	0	578	0	0
NZ_QUFB01000001.1 Clostridium sp. AM49-4BH AM49-4BH.Scaf1, whole genome shotgun sequence	202	171	124	252	376	251	262	218	0	139	356	0	0	0	5751	2801	2413	2390	0	377	2150	1572	1913	429	0	0	0	428	603	537	441	0	0	0	0	0	0	0	0	0	0	0
CP085928.1 Lachnospiraceae bacterium GAM79 strain FDAARGOS_1585 chromosome, complete genome	188	147	98	82	168	191	160	262	104	195	315	0	0	0	863	2008	0	0	0	381	338	0	339	0	0	0	0	589	461	405	460	0	0	0	0	0	0	599	0	0	0	0
NZ_CP102285.1 Parabacteroides johnsonii DSM 18315 chromosome, complete genome	302	460	359	304	437	561	376	452	332	535	516	0	0	0	2213	6678	5231	5475	0	787	1135	919	1041	0	648	371	499	1191	1332	1391	0	0	0	0	0	0	0	0	0	0	0	0
CALMDO010000001.1 MAG TPA_asm: uncultured Bacteroidetes bacterium isolate SRR8868559_bin.49_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1645192.1046, whole genome shotgun sequence	178	156	91	125	195	229	149	565	233	440	469	0	0	0	0	0	0	0	0	290	88	0	47	0	0	0	0	505	328	372	0	0	0	0	0	0	0	0	0	0	0	0
CAJLFL010000001.1 MAG TPA_asm: uncultured Clostridiales bacterium isolate ERR1430432-bin.57 genome assembly, contig: NODE_1139_length_41653_cov_5.874706, whole genome shotgun sequence	136	118	35	39	56	69	155	201	51	273	210	0	0	0	0	0	0	0	0	245	233	0	334	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_015740.1 Stutzerimonas stutzeri, complete sequence	285	359	196	259	383	357	353	177	0	0	166	0	0	0	1479	0	0	0	825	406	333	0	386	317	0	0	0	333	387	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_BCTO01000001.1 Delftia tsuruhatensis NBRC 16741, whole genome shotgun sequence	414	302	0	0	559	553	530	675	318	608	605	0	0	0	3514	0	0	0	1627	0	0	0	0	936	1070	949	894	0	0	0	0	0	0	0	0	0	1712	2261	0	0	0	0
NZ_BDAI01000001.1 Pseudomonas nitroreducens NBRC 12694, whole genome shotgun sequence	381	418	176	433	606	380	415	400	0	424	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_QIBZ01000001.1 Slackia isoflavoniconvertens strain DSM 22006 DSM22006T_contig_001, whole genome shotgun sequence	141	98	0	0	145	170	0	204	0	159	156	0	0	0	1183	1446	1132	1364	0	310	992	791	883	931	960	760	920	409	348	409	692	0	0	165	0	0	312	0	216	292	0	0
NZ_WPOO01000001.1 Adlercreutzia rubneri strain ResAG-91 ResAG91_contig_001, whole genome shotgun sequence	172	0	0	291	0	242	0	0	0	208	0	0	0	0	0	0	0	0	0	0	277	153	0	881	0	812	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_007681.1 Methanosphaera stadtmanae DSM 3091, complete sequence	108	114	182	32	152	87	116	34	81	111	94	0	0	0	2000	1436	1173	881	105	269	141	0	0	492	191	304	276	53	0	0	922	0	0	401	92	0	0	0	0	0	0	0
UQXG01000001.1 uncultured Clostridiales bacterium isolate UMGS729 genome assembly, contig: NODE_29_length_46468_cov_7.095060, whole genome shotgun sequence	130	0	84	181	222	129	106	235	124	198	149	0	0	0	4248	833	776	669	0	427	296	261	249	631	926	845	862	521	592	550	1117	0	0	0	0	0	0	0	0	0	0	0
NZ_CP022464.2 Enterocloster bolteae strain ATCC BAA-613 chromosome, complete genome	400	294	276	435	478	631	450	331	0	255	288	0	0	0	12816	2681	2256	2305	0	673	1601	1455	1666	0	1495	1675	1631	721	1111	956	2559	0	0	1210	388	0	0	0	0	501	0	0
NZ_CAJHAJ010000001.1 Psychrobacter maritimus isolate Psychrobacter maritimus Pi2-25, whole genome shotgun sequence	191	118	56	0	238	202	199	199	0	178	89	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_JANSWE010000001.1 Bacteroides cellulosilyticus DSM 14838 contig_1, whole genome shotgun sequence	408	355	281	400	407	623	327	551	0	0	416	0	0	0	10781	4790	3751	3831	0	955	752	791	592	0	0	0	0	825	746	1058	0	0	0	0	0	0	0	980	0	0	0	0
NZ_KE161030.1 Cedecea davisae DSM 4568 Scaffold0, whole genome shotgun sequence	293	376	403	380	360	424	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR884565.1 Eggerthella sp. CAG:209 genomic scaffold, scf6, whole genome shotgun sequence	112	142	142	153	188	238	182	141	66	0	81	0	0	0	0	1486	1396	1593	0	303	773	631	759	975	1036	974	903	310	316	487	697	0	0	0	0	0	0	0	0	187	0	0
NC_009436.1 Enterobacter sp. 638, complete sequence	279	153	106	0	298	276	396	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAGNWC010000055.1 MAG: Hydromonas sp. isolate Go_Inlet_bin_40 Go_Inlet_10112_length_7616_cov_7.164374, whole genome shotgun sequence	79	55	7	33	30	48	42	128	109	154	137	0	0	0	662	0	0	0	0	0	0	0	0	0	125	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_JAPFDK010000009.1 MAG: Slackia sp. isolate bin_32_DannyCat k141_102769, whole genome shotgun sequence	120	134	0	86	218	260	149	215	121	179	168	0	0	0	0	391	214	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP107199.1 MAG: Lachnospiraceae bacterium isolate KR001_HIC_0035 chromosome, complete genome	235	260	114	249	348	319	345	285	242	193	386	0	0	0	6580	8536	7239	7772	0	725	892	851	790	788	642	683	721	424	572	635	1443	0	0	295	0	0	892	0	365	682	0	0
CACWRR010000001.1 MAG: uncultured Lachnospiraceae bacterium isolate RUG10849 genome assembly, contig: RUG10849_asm_1, whole genome shotgun sequence	148	0	86	69	152	127	67	0	0	0	0	0	0	0	0	532	644	745	0	151	1572	1393	1445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_JAJCRR010000001.1 Lachnospira pectinoschiza strain SL.1.13 OMCMFGFK_1, whole genome shotgun sequence	178	193	266	262	286	225	265	215	151	264	189	0	0	0	7964	11036	10032	9993	298	420	421	365	412	679	557	514	488	647	337	350	721	0	0	610	0	0	0	0	0	351	0	0
FR881167.1 Bacteroides sp. CAG:530 genomic scaffold, scf18, whole genome shotgun sequence	200	123	230	244	328	238	161	210	0	96	0	0	0	0	2000	21541	17833	18063	1588	2011	638	630	607	0	0	0	0	655	398	541	0	0	0	0	0	0	0	0	0	0	0	0
UQZR01000001.1 uncultured Clostridiales bacterium isolate UMGS792 genome assembly, contig: NODE_33_length_162773_cov_8.912764, whole genome shotgun sequence	130	90	0	0	154	111	196	0	0	0	194	0	0	0	20639	1245	1123	1135	289	485	972	686	884	872	842	758	859	657	678	763	1469	0	0	0	0	0	356	353	0	0	0	0
NC_009667.1 Brucella anthropi ATCC 49188 chromosome 1, complete sequence	307	296	300	383	503	286	420	555	214	417	411	0	0	0	2485	1235	1388	890	3062	771	741	463	533	1195	988	939	1164	472	0	415	998	0	0	302	0	0	990	1209	302	657	0	0
URLO01000001.1 uncultured Clostridiales bacterium isolate UMGS1113 genome assembly, contig: NODE_23_length_207147_cov_7.018216, whole genome shotgun sequence	132	97	63	0	232	157	277	136	108	0	157	0	0	0	2994	803	760	644	0	350	552	341	525	3049	323	417	337	462	423	350	642	0	0	0	0	0	0	0	0	269	0	0
NZ_PDWV01000100.1 Pseudoxanthomonas mexicana strain DSM 17121 NODE_100_length_3974_cov_13.0741, whole genome shotgun sequence	233	204	180	170	236	0	304	0	0	0	0	0	0	0	3230	1114	760	788	415	810	478	416	765	1254	1985	1960	1983	1241	1456	1471	2637	0	0	466	0	0	262	667	0	1106	0	0
URPI01000001.1 uncultured Clostridiales bacterium isolate UMGS1211 genome assembly, contig: NODE_301_length_52418_cov_4.946260, whole genome shotgun sequence	136	172	121	142	197	239	224	237	279	193	230	0	0	0	17716	472	471	873	171	483	412	352	255	563	489	441	395	271	192	348	302	0	0	0	0	0	0	0	0	687	0	0
NZ_KK073872.1 Cloacibacillus evryensis DSM 19522 CloevDRAFT_Scaffold1.1, whole genome shotgun sequence	204	190	288	191	284	341	258	227	167	341	201	0	0	0	2366	733	595	1034	207	0	0	0	0	0	0	68	157	0	0	227	0	0	0	0	0	0	723	505	290	0	0	0
NZ_AP024585.1 Citrobacter amalonaticus strain JCM 1661 chromosome, complete genome	295	0	0	0	0	0	0	0	0	0	0	0	0	0	1526	0	727	813	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0
URBH01000001.1 uncultured Clostridiales bacterium isolate UMGS838 genome assembly, contig: NODE_66_length_160380_cov_6.620415, whole genome shotgun sequence	128	153	90	163	161	215	188	191	0	169	162	0	0	0	1917	2058	1760	1966	0	381	889	786	1070	1632	835	738	767	501	549	689	1204	0	0	107	0	0	0	0	0	552	0	0
NZ_CP118982.1 Staphylococcus equorum strain DSM 20674 chromosome, complete genome	158	220	240	239	275	249	247	255	116	248	261	0	0	0	426	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
MNRS01000021.1 MAG: Clostridium sp. 28_17 Ley3_66761_scaffold_1021, whole genome shotgun sequence	88	29	27	0	55	0	98	133	26	112	144	0	0	0	0	0	0	0	0	124	1100	793	1063	0	68	0	0	0	0	0	425	0	0	70	0	0	77	0	0	80	0	0
NC_021021.1 Gordonibacter pamelaeae 7-10-1-b, complete sequence	206	250	176	139	339	451	290	353	0	272	325	0	0	0	2745	1657	1429	1813	0	122	276	0	462	949	703	479	613	0	181	350	972	0	0	178	0	0	0	0	0	765	0	0
NZ_BBQE01000027.1 Sulfurospirillum cavolei NBRC 109482, whole genome shotgun sequence	161	197	110	189	255	152	338	207	180	0	236	0	0	0	17029	4529	4082	4246	509	236	0	0	0	0	0	0	0	0	219	202	0	0	0	1891	1431	1331	543	1099	0	407	0	0
CALTTS010000001.1 MAG: uncultured Xanthomonas sp. isolate WHzOiGdaKN_bin.1.MAG genome assembly, contig: NODE_5_length_309382_cov_18.289089, whole genome shotgun sequence	172	108	0	157	167	110	141	135	0	155	0	0	0	0	0	341	0	288	0	417	244	0	163	281	519	433	509	289	355	287	0	0	0	0	0	0	0	0	0	134	0	0
FR887349.1 Clostridium sp. CAG:302 genomic scaffold, scf4, whole genome shotgun sequence	70	98	84	131	129	87	67	72	38	110	94	0	0	0	2662	6065	4123	5034	45	305	832	835	727	343	289	219	185	396	430	229	451	0	0	190	0	0	1883	2268	857	0	0	0
NZ_LT629829.1 Prevotellamassilia timonensis strain Marseille-P2831T, whole genome shotgun sequence	196	186	194	308	353	346	364	0	0	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	717	544	669	0	0	0	0	0	0	0	0	0	0	0	0
NZ_RAXT01000001.1 Acinetobacter rongchengensis strain WCHAc060115 1, whole genome shotgun sequence	229	0	0	0	426	283	390	923	740	930	969	0	0	0	0	1044	0	0	0	861	0	0	0	0	1541	1591	1529	0	0	0	1141	0	0	0	0	0	0	0	0	0	0	0
NZ_CP048838.1 [Clostridium] innocuum strain ATCC 14501 chromosome, complete genome	263	313	170	340	435	310	266	543	319	323	351	0	0	0	3337	2349	1942	2059	0	0	329	582	427	0	416	352	518	516	450	429	536	0	0	274	0	0	0	0	0	2204	0	0
CAAFDE010000001.1 TPA_asm: Candidatus Gastranaerophilales bacterium, isolate HGM07904, WGS project CAAFDE010000000 data, contig: SRS077392_71_k99_86, whole genome shotgun sequence	89	84	37	80	47	118	95	36	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	125	0	0	168	139	0	0	0	0	0	0	0	0	0	0	0
NZ_MKZO01000001.1 Pseudomonas putida strain GM4FR PSEMO_contig000001, whole genome shotgun sequence	389	0	0	263	547	578	334	0	0	170	0	0	0	0	1716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QHMG01000011.1 MAG: Candidatus Melainabacteria bacterium isolate js4906-20-3_S2_33_49 js4906-20-3_S2_scaffold_102, whole genome shotgun sequence	100	105	45	43	129	168	98	193	134	97	157	0	0	0	0	140	74	0	0	827	312	210	227	244	0	0	0	0	0	0	911	0	0	83	0	0	0	0	0	124	0	0
JAGTTP010000001.1 Clostridiaceae bacterium Marseille-Q4145 NODE_1_length_2174814_cov_68.960047, whole genome shotgun sequence	181	155	0	0	0	265	0	213	0	0	0	0	0	0	4366	4579	4842	4848	0	695	0	0	0	639	712	534	537	0	0	0	1388	0	0	0	0	0	0	0	0	718	0	0
NZ_LS483403.1 Streptococcus lutetiensis strain NCTC13774 chromosome 1, complete sequence	94	115	55	136	181	66	158	91	0	0	204	0	0	0	0	863	884	839	93	368	244	239	341	303	453	514	423	182	355	365	1145	0	0	370	0	106	436	0	159	7629	0	0
URNB01000001.1 uncultured Ruminococcaceae bacterium isolate UMGS1148 genome assembly, contig: NODE_125_length_90205_cov_5.447965, whole genome shotgun sequence	109	82	148	147	99	124	127	142	0	129	205	0	0	0	1408	1094	875	873	0	113	211	138	168	609	248	199	429	187	245	357	400	0	0	0	0	0	344	172	0	0	0	0
NZ_CP038020.1 Streptococcus thermophilus strain ATCC 19258 chromosome, complete genome	110	47	60	96	142	76	103	274	93	106	94	0	0	0	3088	1496	1247	1229	0	725	265	304	276	878	464	425	535	291	163	326	896	0	0	0	0	0	0	0	0	0	0	0
NZ_DS264383.1 [Ruminococcus] torques ATCC 27756 Scfld0240, whole genome shotgun sequence	144	191	117	133	314	191	266	202	47	126	271	0	0	0	5112	13647	11454	11282	0	989	596	691	606	2022	1359	1201	1354	1817	2152	2086	1922	0	0	520	0	0	0	0	0	811	0	0
DS480351.1 Clostridium leptum DSM 753 Scfld_02_20 genomic scaffold, whole genome shotgun sequence	171	168	150	193	351	221	199	219	107	216	198	0	0	0	5976	34315	29089	29404	0	355	576	487	459	505	478	437	380	273	427	413	499	0	0	0	0	0	0	0	0	0	0	0
NZ_CP060632.1 Wujia chipingensis strain NSJ-4 chromosome, complete genome	153	178	166	173	271	215	219	180	226	139	208	0	0	0	99895	1636	1537	1398	0	2085	1030	889	1084	1445	503	490	479	2066	2389	2112	610	0	0	0	0	0	0	0	0	448	0	0
NZ_VUNS01000001.1 Victivallis lenta strain BBE-744-WT-12 seq1, whole genome shotgun sequence	290	289	242	292	426	309	412	337	0	163	125	0	0	0	2343	512	371	0	0	754	484	391	496	571	0	0	0	763	689	576	0	0	0	0	0	0	0	0	0	0	0	0
